schema_name	component_kind	owner_task	state_domain
CustomerContractViewV1	RESULT	F57-22	CONTRACT_V1
CustomerDeliveryViewV1	RESULT	F57-22	DELIVERY_V1
CustomerEquipmentViewV1	RESULT	F57-22	EQUIPMENT_V1
CustomerInvoiceViewV1	RESULT	F57-22	INVOICE_V1
CustomerMergeAcceptedV1	RESULT	F57-19	MASTER_RECORD_V1
CustomerOrderViewV1	RESULT	F57-22	SALES_ORDER_V1
CustomerQuoteViewV1	RESULT	F57-22	CPQ_QUOTE_VERSION_V1
CustomerReceiptViewV1	RESULT	F57-22	CASH_RECEIPT_V1
CustomerWorkOrderViewV1	RESULT	F57-22	WORK_ORDER_V1
DeliveryConfirmationAcceptedV1	RESULT	F57-20	DELIVERY_V1
DeliveryConfirmationListQueryV1	PAYLOAD	F57-20	DELIVERY_V1
DeliveryConfirmationViewV1	RESULT	F57-20	DELIVERY_V1
DeliveryConfirmedV1	RESULT	F57-20	DELIVERY_V1
DeliveryDateConfirmedV1	RESULT	F57-22	DELIVERY_V1
DeliveryScheduleChangedV1	RESULT	F57-19	DELIVERY_V1
DeliveryScheduleListQueryV1	PAYLOAD	F57-19	DELIVERY_V1
DeliverySchedulePageV1	RESULT	F57-19	DELIVERY_V1
DispositionCaseAcceptedV1	RESULT	F57-23	DISPOSITION_CASE_V1
DispositionCaseListQueryV1	PAYLOAD	F57-23	DISPOSITION_CASE_V1
DispositionCaseViewV1	RESULT	F57-23	DISPOSITION_CASE_V1
DuplicateCandidateListQueryV1	PAYLOAD	F57-19	MASTER_RECORD_V1
DuplicateCandidatePageV1	RESULT	F57-19	MASTER_RECORD_V1
EmployeeApprovalCaseViewV1	RESULT	F57-23	APPROVAL_CASE_V1
EmployeeObjectiveListQueryV1	PAYLOAD	F57-18	OBJECTIVE_V1
EmployeeObjectiveTimelineViewV1	RESULT	F57-18	OBJECTIVE_V1
EmployeeObjectiveViewV1	RESULT	F57-18	OBJECTIVE_V1
EmployeePortableExportViewV1	RESULT	F57-23	PORTABLE_EXPORT_V1
EquipmentAcceptedV1	RESULT	F57-21	EQUIPMENT_V1
EquipmentListQueryV1	PAYLOAD	F57-21	EQUIPMENT_V1
EquipmentViewV1	RESULT	F57-21	EQUIPMENT_V1
EquipmentWorkOrderListQueryV1	PAYLOAD	F57-21	WORK_ORDER_V1
ExpenseAcceptedV1	RESULT	F57-21	COST_ENTRY_V1
ExpenseListQueryV1	PAYLOAD	F57-21	COST_ENTRY_V1
ExpensePageV1	RESULT	F57-21	COST_ENTRY_V1
ExternalIdentityLinkChangedV1	RESULT	F57-23	EXTERNAL_IDENTITY_LINK_V1
ExternalIdentityLinkListQueryV1	PAYLOAD	F57-23	EXTERNAL_IDENTITY_LINK_V1
ExternalIdentityLinkViewV1	RESULT	F57-23	EXTERNAL_IDENTITY_LINK_V1
FollowUpAcceptedV1	RESULT	F57-19	FOLLOW_UP_V1
GenerationChangedV1	RESULT	F57-16	GENERATION_V1
GenerationDiffViewV1	RESULT	F57-16	GENERATION_V1
GenerationViewV1	RESULT	F57-16	GENERATION_V1
GoodsReceiptAcceptedV1	RESULT	F57-20	RECEIPT_V1
GoodsReceiptListQueryV1	PAYLOAD	F57-20	RECEIPT_V1
GoodsReceiptViewV1	RESULT	F57-20	RECEIPT_V1
ImportProposalAcceptedV1	RESULT	F57-23	IMPORT_PROPOSAL_V1
InventoryAvailabilityViewV1	RESULT	F57-20	INVENTORY_V1
InventoryBalanceListQueryV1	PAYLOAD	F57-20	INVENTORY_V1
InventoryBalanceViewV1	RESULT	F57-20	INVENTORY_V1
InventoryMovementListQueryV1	PAYLOAD	F57-20	INVENTORY_V1
InventoryMovementPageV1	RESULT	F57-20	INVENTORY_V1
InventoryValuationViewV1	RESULT	F57-20	INVENTORY_V1
InvoiceAcceptedV1	RESULT	F57-20	INVOICE_V1
InvoiceListQueryV1	PAYLOAD	F57-20	INVOICE_V1
InvoiceViewV1	RESULT	F57-20	INVOICE_V1
LegalHoldAcceptedV1	RESULT	F57-23	LEGAL_HOLD_V1
LegalHoldListQueryV1	PAYLOAD	F57-23	LEGAL_HOLD_V1
LegalHoldViewV1	RESULT	F57-23	LEGAL_HOLD_V1
MaintenanceOccurrenceListQueryV1	PAYLOAD	F57-21	MAINTENANCE_OCCURRENCE_V1
MaintenanceOccurrencePageV1	RESULT	F57-21	MAINTENANCE_OCCURRENCE_V1
MaintenancePlanAcceptedV1	RESULT	F57-21	MAINTENANCE_PLAN_V1
MaintenancePlanListQueryV1	PAYLOAD	F57-21	MAINTENANCE_PLAN_V1
MaintenancePlanViewV1	RESULT	F57-21	MAINTENANCE_PLAN_V1
ManualOrderAuthorityAcceptedV1	RESULT	F57-19	SNAPSHOT_V1
MasterRecordAcceptedV1	RESULT	F57-19	MASTER_RECORD_V1
MasterRecordHistoryPageV1	RESULT	F57-19	MASTER_RECORD_V1
MasterRecordListQueryV1	PAYLOAD	F57-19	MASTER_RECORD_V1
MasterRecordViewV1	RESULT	F57-19	MASTER_RECORD_V1
MetricBreakdownViewV1	RESULT	F57-21	SNAPSHOT_V1
MetricDashboardViewV1	RESULT	F57-21	SNAPSHOT_V1
MetricResultViewV1	RESULT	F57-21	SNAPSHOT_V1
NotificationListQueryV1	PAYLOAD	F57-18	SNAPSHOT_V1
NotificationPageV1	RESULT	F57-18	SNAPSHOT_V1
ObjectiveChangedV1	RESULT	F57-16	OBJECTIVE_V1
OperatingLedgerAcceptedV1	RESULT	F57-20	LEDGER_V1
OperatingPeriodListQueryV1	PAYLOAD	F57-20	OPERATING_PERIOD_V1
OperatingPeriodViewV1	RESULT	F57-20	OPERATING_PERIOD_V1
OpportunityAcceptedV1	RESULT	F57-19	OPPORTUNITY_V1
OpportunityListQueryV1	PAYLOAD	F57-19	OPPORTUNITY_V1
OpportunityTimelineViewV1	RESULT	F57-19	OPPORTUNITY_V1
OpportunityViewV1	RESULT	F57-19	OPPORTUNITY_V1
PackageChangedV1	RESULT	F57-16	PACKAGE_V1
PackageViewV1	RESULT	F57-16	PACKAGE_V1
PartUsageAcceptedV1	RESULT	F57-21	PART_USAGE_V1
PartUsageListQueryV1	PAYLOAD	F57-21	PART_USAGE_V1
PartUsagePageV1	RESULT	F57-21	PART_USAGE_V1
PayableListQueryV1	PAYLOAD	F57-20	PAYABLE_V1
PayableViewV1	RESULT	F57-20	PAYABLE_V1
PaymentAcceptedV1	RESULT	F57-20	PAYMENT_V1
PaymentRequestAcceptedV1	RESULT	F57-20	PAYMENT_REQUEST_V1
PermissionSimulationViewV1	RESULT	F57-16	SNAPSHOT_V1
PortableExportAcceptedV1	RESULT	F57-23	PORTABLE_EXPORT_V1
PortableExportListQueryV1	PAYLOAD	F57-23	PORTABLE_EXPORT_V1
PortableExportViewV1	RESULT	F57-23	PORTABLE_EXPORT_V1
ProcurementDemandAcceptedV1	RESULT	F57-20	PROCUREMENT_DEMAND_V1
ProcurementDemandListQueryV1	PAYLOAD	F57-20	PROCUREMENT_DEMAND_V1
ProcurementDemandViewV1	RESULT	F57-20	PROCUREMENT_DEMAND_V1
ProductionEvidenceListQueryV1	PAYLOAD	F57-16	SNAPSHOT_V1
ProductionEvidenceViewV1	RESULT	F57-16	SNAPSHOT_V1
ProjectAcceptedV1	RESULT	F57-21	PROJECT_V1
ProjectCostDrilldownViewV1	RESULT	F57-21	PROJECT_V1
ProjectListQueryV1	PAYLOAD	F57-21	PROJECT_V1
ProjectMilestoneAcceptedV1	RESULT	F57-21	PROJECT_MILESTONE_V1
ProjectMilestoneListQueryV1	PAYLOAD	F57-21	PROJECT_MILESTONE_V1
ProjectMilestonePageV1	RESULT	F57-21	PROJECT_MILESTONE_V1
ProjectReceiptMilestoneListQueryV1	PAYLOAD	F57-21	PROJECT_RECEIPT_MILESTONE_V1
ProjectReceiptMilestonePageV1	RESULT	F57-21	PROJECT_RECEIPT_MILESTONE_V1
ProjectRiskAcceptedV1	RESULT	F57-21	PROJECT_RISK_V1
ProjectRiskListQueryV1	PAYLOAD	F57-21	PROJECT_RISK_V1
ProjectRiskViewV1	RESULT	F57-21	PROJECT_RISK_V1
ProjectViewV1	RESULT	F57-21	PROJECT_V1
PurchaseOrderAcceptedV1	RESULT	F57-20	PURCHASE_ORDER_V1
PurchaseOrderConfirmedV1	RESULT	F57-22	PURCHASE_ORDER_V1
PurchaseOrderListQueryV1	PAYLOAD	F57-20	PURCHASE_ORDER_V1
PurchaseOrderViewV1	RESULT	F57-20	PURCHASE_ORDER_V1
PurchaseReturnAcceptedV1	RESULT	F57-20	PURCHASE_RETURN_V1
PurchaseReturnListQueryV1	PAYLOAD	F57-20	PURCHASE_RETURN_V1
PurchaseReturnViewV1	RESULT	F57-20	PURCHASE_RETURN_V1
QuoteAcceptedV1	RESULT	F57-19	CPQ_QUOTE_VERSION_V1
QuoteListQueryV1	PAYLOAD	F57-19	CPQ_QUOTE_VERSION_V1
QuoteVersionAcceptedV1	RESULT	F57-19	CPQ_QUOTE_VERSION_V1
QuoteVersionListQueryV1	PAYLOAD	F57-19	CPQ_QUOTE_VERSION_V1
QuoteVersionViewV1	RESULT	F57-19	CPQ_QUOTE_VERSION_V1
QuoteViewV1	RESULT	F57-19	CPQ_QUOTE_VERSION_V1
ReceiptAcceptedV1	RESULT	F57-20	CASH_RECEIPT_V1
ReceiptRejectionAcceptedV1	RESULT	F57-20	RECEIPT_REJECTION_V1
ReceivableListQueryV1	PAYLOAD	F57-20	RECEIVABLE_V1
ReceivableViewV1	RESULT	F57-20	RECEIVABLE_V1
RefundAcceptedV1	RESULT	F57-20	REFUND_V1
ReportDefinitionListQueryV1	PAYLOAD	F57-21	DEFINITION_V1
ReportDefinitionViewV1	RESULT	F57-21	DEFINITION_V1
ReportResultViewV1	RESULT	F57-21	SNAPSHOT_V1
RfqRoundAcceptedV1	RESULT	F57-20	RFQ_ROUND_V1
RfqRoundListQueryV1	PAYLOAD	F57-20	RFQ_ROUND_V1
RfqRoundViewV1	RESULT	F57-20	RFQ_ROUND_V1
RootCauseAcceptedV1	RESULT	F57-21	ROOT_CAUSE_V1
SalesOrderAcceptedV1	RESULT	F57-19	SALES_ORDER_V1
SalesOrderListQueryV1	PAYLOAD	F57-19	SALES_ORDER_V1
SalesOrderVersionListQueryV1	PAYLOAD	F57-19	SALES_ORDER_V1
SalesOrderVersionPageV1	RESULT	F57-19	SALES_ORDER_V1
SalesOrderViewV1	RESULT	F57-19	SALES_ORDER_V1
SalesReturnAcceptedV1	RESULT	F57-20	SALES_RETURN_V1
SalesReturnListQueryV1	PAYLOAD	F57-20	SALES_RETURN_V1
SalesReturnViewV1	RESULT	F57-20	SALES_RETURN_V1
SatisfactionAcceptedV1	RESULT	F57-21	SATISFACTION_V1
SearchDefinitionListQueryV1	PAYLOAD	F57-23	DEFINITION_V1
SearchDefinitionViewV1	RESULT	F57-23	DEFINITION_V1
SecurityIncidentAcceptedV1	RESULT	F57-24	SECURITY_INCIDENT_V1
SecurityIncidentListQueryV1	PAYLOAD	F57-24	SECURITY_INCIDENT_V1
SecurityIncidentViewV1	RESULT	F57-24	SECURITY_INCIDENT_V1
SerialTraceViewV1	RESULT	F57-20	INVENTORY_V1
ServiceEvidenceAcceptedV1	RESULT	F57-22	SERVICE_EVIDENCE_V1
ServiceRequestAcceptedV1	RESULT	F57-22	SERVICE_REQUEST_V1
StockAdjustmentAcceptedV1	RESULT	F57-20	INVENTORY_V1
StorageHealthViewV1	RESULT	F57-16	SNAPSHOT_V1
SubledgerReconciliationViewV1	RESULT	F57-20	RECONCILIATION_V1
SupplierInvoiceUploadAcceptedV1	RESULT	F57-22	INVOICE_V1
SupplierProfileChangeAcceptedV1	RESULT	F57-22	SUPPLIER_PROFILE_V1
SupplierPurchaseOrderViewV1	RESULT	F57-22	PURCHASE_ORDER_V1
SupplierQuoteAcceptedV1	RESULT	F57-20	SUPPLIER_QUOTE_VERSION_V1
SupplierQuoteListQueryV1	PAYLOAD	F57-20	SUPPLIER_QUOTE_VERSION_V1
SupplierQuoteViewV1	RESULT	F57-20	SUPPLIER_QUOTE_VERSION_V1
SupplierReconciliationStatementViewV1	RESULT	F57-22	RECONCILIATION_V1
SupportSessionChangedV1	RESULT	F57-16	SUPPORT_SESSION_V1
SupportSessionViewV1	RESULT	F57-16	SUPPORT_SESSION_V1
TimeEntryAcceptedV1	RESULT	F57-21	COST_ENTRY_V1
TimeEntryListQueryV1	PAYLOAD	F57-21	COST_ENTRY_V1
TimeEntryPageV1	RESULT	F57-21	COST_ENTRY_V1
TrialBalanceViewV1	RESULT	F57-20	SNAPSHOT_V1
WorkItemChangedV1	RESULT	F57-18	WORK_ITEM_V1
WorkItemListQueryV1	PAYLOAD	F57-18	WORK_ITEM_V1
WorkItemViewV1	RESULT	F57-18	WORK_ITEM_V1
WorkOrderAcceptedV1	RESULT	F57-21	WORK_ORDER_V1
WorkOrderListQueryV1	PAYLOAD	F57-21	WORK_ORDER_V1
WorkOrderTimelineViewV1	RESULT	F57-21	WORK_ORDER_V1
WorkOrderViewV1	RESULT	F57-21	WORK_ORDER_V1
