legacy_version	legacy_path	disposition	aggregate_owner_task	aggregate_replacement_paths	mapping_rule
20261013090500	db/migrations/platform_meta/V20261013090500__platform_meta_create_config_package_items.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_META_GENERATION_V1
20261013090600	db/migrations/platform_meta/V20261013090600__platform_meta_create_config_release_orders.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_META_GENERATION_V1
20261013090700	db/migrations/platform_flow/V20261013090700__platform_flow_create_process_definitions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013090800	db/migrations/platform_flow/V20261013090800__platform_flow_create_process_instances.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013090900	db/migrations/platform_flow/V20261013090900__platform_flow_create_process_steps.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013091000	db/migrations/platform_flow/V20261013091000__platform_flow_create_process_tasks.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013091100	db/migrations/platform_flow/V20261013091100__platform_flow_create_process_timers.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013091200	db/migrations/platform_flow/V20261013091200__platform_flow_create_process_compensations.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_FLOW_OBJECTIVE_V1
20261013091300	db/migrations/platform_audit/V20261013091300__platform_audit_create_audit_segments.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_audit/V20261025090310__platform_audit_create_entries_and_segments.sql	PLATFORM_AUDIT_V1
20261013091400	db/migrations/platform_audit/V20261013091400__platform_audit_create_audit_events.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_audit/V20261025090310__platform_audit_create_entries_and_segments.sql	PLATFORM_AUDIT_V1
20261013091500	db/migrations/platform_audit/V20261013091500__platform_audit_create_audit_anchors.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_audit/V20261025090310__platform_audit_create_entries_and_segments.sql	PLATFORM_AUDIT_V1
20261013091600	db/migrations/platform_audit/V20261013091600__platform_audit_create_audit_verifications.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_audit/V20261025090310__platform_audit_create_entries_and_segments.sql	PLATFORM_AUDIT_V1
20261013091700	db/migrations/platform_msg/V20261013091700__platform_msg_create_outbox_events.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013091800	db/migrations/platform_msg/V20261013091800__platform_msg_create_inbox_consumptions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013091900	db/migrations/platform_msg/V20261013091900__platform_msg_create_dead_letters.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092000	db/migrations/platform_msg/V20261013092000__platform_msg_create_notification_templates.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092100	db/migrations/platform_msg/V20261013092100__platform_msg_create_notifications.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092200	db/migrations/platform_msg/V20261013092200__platform_msg_create_notification_deliveries.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092300	db/migrations/platform_msg/V20261013092300__platform_msg_create_push_registrations.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092400	db/migrations/platform_msg/V20261013092400__platform_msg_create_ops_views.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092500	db/migrations/platform_msg/V20261013092500__platform_msg_backfill_append_only_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092600	db/migrations/platform_msg/V20261013092600__platform_msg_backfill_sensitive_field_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-11	db/migrations/platform_msg/V20261025090300__platform_msg_create_command_receipts_and_outbox.sql	PLATFORM_MESSAGE_V1
20261013092700	db/migrations/platform_file/V20261013092700__platform_file_create_attachment_objects.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/platform_file/V20261025090700__platform_file_create_objects_quarantine_and_scan_evidence.sql	PLATFORM_FILE_IDENTITY_V1
20261013092800	db/migrations/platform_file/V20261013092800__platform_file_create_attachment_versions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/platform_file/V20261025090700__platform_file_create_objects_quarantine_and_scan_evidence.sql	PLATFORM_FILE_IDENTITY_V1
20261013092900	db/migrations/platform_file/V20261013092900__platform_file_create_upload_sessions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-16	db/migrations/platform_file/V20261025090700__platform_file_create_objects_quarantine_and_scan_evidence.sql	PLATFORM_FILE_SECURE_INTAKE_V1
20261013093000	db/migrations/platform_file/V20261013093000__platform_file_create_upload_parts.sql	SUPERSEDED_BY_F57_REBASELINE	F57-16	db/migrations/platform_file/V20261025090700__platform_file_create_objects_quarantine_and_scan_evidence.sql	PLATFORM_FILE_SECURE_INTAKE_V1
20261013093100	db/migrations/platform_file/V20261013093100__platform_file_create_scan_results.sql	SUPERSEDED_BY_F57_REBASELINE	F57-16	db/migrations/platform_file/V20261025090700__platform_file_create_objects_quarantine_and_scan_evidence.sql	PLATFORM_FILE_SECURE_INTAKE_V1
20261013093200	db/migrations/platform_file/V20261013093200__platform_file_create_watermark_views.sql	SUPERSEDED_BY_F57_REBASELINE	F57-23	db/migrations/platform_file/V20261025091920__platform_file_extend_governed_lifecycle.sql	PLATFORM_FILE_GOVERNED_LIFECYCLE_V1
20261013093300	db/migrations/platform_core/V20261013093300__platform_core_backfill_stage03_unpoliced_table_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-25	db/migrations/platform_core/V20261025092530__platform_core_backfill_f57_unpoliced_table_registry.sql	PLATFORM_CORE_REGISTRY_CLOSURE_V1
20261013093400	db/migrations/platform_core/V20261013093400__platform_core_create_impact_assessments.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_CORE_GENERATION_V1
20261013093500	db/migrations/platform_core/V20261013093500__platform_core_create_impact_disposition_items.sql	SUPERSEDED_BY_F57_REBASELINE	F57-09	db/migrations/platform_meta/V20261025090400__platform_meta_create_generations_participants_and_pins.sql	PLATFORM_CORE_GENERATION_V1
20261013093600	db/migrations/platform_flow/V20261013093600__platform_flow_create_approval_command_snapshots.sql	SUPERSEDED_BY_F57_REBASELINE	F57-23	db/migrations/platform_flow/V20261025091900__platform_flow_create_approval_cases.sql	PLATFORM_FLOW_APPROVAL_V1
20261013093700	db/migrations/platform_flow/V20261013093700__platform_flow_backfill_sensitive_field_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-25	db/migrations/platform_core/V20261025092530__platform_core_backfill_f57_unpoliced_table_registry.sql	PLATFORM_FLOW_REGISTRY_CLOSURE_V1
20261014090000	db/migrations/mdm/V20261014090000__mdm_create_uoms.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090100	db/migrations/mdm/V20261014090100__mdm_create_classification_items.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090200	db/migrations/mdm/V20261014090200__mdm_create_customers.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090300	db/migrations/mdm/V20261014090300__mdm_create_products.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090400	db/migrations/mdm/V20261014090400__mdm_enable_rls_t0.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090500	db/migrations/mdm/V20261014090500__mdm_create_materials.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090600	db/migrations/mdm/V20261014090600__mdm_create_customer_contacts.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090700	db/migrations/mdm/V20261014090700__mdm_create_customer_addresses.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090800	db/migrations/mdm/V20261014090800__mdm_create_customer_invoice_profiles.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014090900	db/migrations/mdm/V20261014090900__mdm_create_suppliers.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091000	db/migrations/mdm/V20261014091000__mdm_create_supplier_contacts.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091100	db/migrations/mdm/V20261014091100__mdm_create_supplier_payment_profiles.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091200	db/migrations/mdm/V20261014091200__mdm_create_supplier_qualifications.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091300	db/migrations/mdm/V20261014091300__mdm_create_supplier_price_records.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091400	db/migrations/mdm/V20261014091400__mdm_create_supplier_leadtime_records.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091500	db/migrations/mdm/V20261014091500__mdm_create_supplier_risk_records.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091600	db/migrations/mdm/V20261014091600__mdm_create_product_material_links.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091700	db/migrations/mdm/V20261014091700__mdm_create_change_requests.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091800	db/migrations/mdm/V20261014091800__mdm_create_record_versions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014091900	db/migrations/mdm/V20261014091900__mdm_create_import_batches.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092000	db/migrations/mdm/V20261014092000__mdm_create_import_batch_rows.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092100	db/migrations/mdm/V20261014092100__mdm_create_export_jobs.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092200	db/migrations/mdm/V20261014092200__mdm_create_attachment_link_tables.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092300	db/migrations/mdm/V20261014092300__mdm_enable_rls_rest.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092400	db/migrations/mdm/V20261014092400__mdm_create_lookup_indexes.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092500	db/migrations/mdm/V20261014092500__mdm_backfill_sensitive_field_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092600	db/migrations/mdm/V20261014092600__mdm_create_dataset_views.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092700	db/migrations/mdm/V20261014092700__mdm_create_warehouses.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092800	db/migrations/mdm/V20261014092800__mdm_enable_rls_warehouses.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/mdm/V20261025090800__mdm_create_customer_master.sql;db/migrations/mdm/V20261025092210__mdm_extend_release_breadth.sql	DOMAIN_MDM_V1
20261014092900	db/migrations/cpq/V20261014092900__cpq_create_price_lists.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql	DOMAIN_CPQ_V1
20261014093000	db/migrations/cpq/V20261014093000__cpq_create_price_list_lines.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql	DOMAIN_CPQ_V1
20261014093100	db/migrations/cpq/V20261014093100__cpq_create_price_list_customer_links.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql	DOMAIN_CPQ_V1
20261014093200	db/migrations/cpq/V20261014093200__cpq_enable_rls.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql	DOMAIN_CPQ_V1
20261014093300	db/migrations/cpq/V20261014093300__cpq_create_lookup_indexes.sql	SUPERSEDED_BY_F57_REBASELINE	F57-03	db/migrations/cpq/V20261025092230__cpq_create_release_breadth.sql	DOMAIN_CPQ_V1
20261015090000	db/migrations/ledger/V20261015090000__ledger_create_accounts.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090100	db/migrations/ledger/V20261015090100__ledger_create_accounting_periods.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090110	db/migrations/platform_core/V20261015090110__platform_core_create_recon_check_definitions.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_CORE_RECON_V1
20261015090120	db/migrations/platform_core/V20261015090120__platform_core_create_recon_runs.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_CORE_RECON_V1
20261015090130	db/migrations/platform_core/V20261015090130__platform_core_create_recon_discrepancies.sql	SUPERSEDED_BY_F57_REBASELINE	F57-12	db/migrations/platform_flow/V20261025090500__platform_flow_create_objectives_effects_and_checkpoints.sql	PLATFORM_CORE_RECON_V1
20261015090200	db/migrations/ledger/V20261015090200__ledger_create_event_account_bindings.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090300	db/migrations/ledger/V20261015090300__ledger_create_opening_balance_batches.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090400	db/migrations/ledger/V20261015090400__ledger_create_opening_balance_batch_lines.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090500	db/migrations/ledger/V20261015090500__ledger_create_vouchers.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090600	db/migrations/ledger/V20261015090600__ledger_create_voucher_lines.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090700	db/migrations/ledger/V20261015090700__ledger_create_correction_vouchers.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090800	db/migrations/ledger/V20261015090800__ledger_create_correction_voucher_lines.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015090900	db/migrations/ledger/V20261015090900__ledger_create_account_period_balances.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015091300	db/migrations/ledger/V20261015091300__ledger_create_posting_trigger_event_types.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015091400	db/migrations/ledger/V20261015091400__ledger_create_ledger_views.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015091500	db/migrations/ledger/V20261015091500__ledger_backfill_posting_trigger_event_types.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015091600	db/migrations/ledger/V20261015091600__ledger_create_dataset_views.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261015091700	db/migrations/ledger/V20261015091700__ledger_backfill_append_only_registry.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/ledger/V20261025092350__ledger_create_operating_ledger_release_breadth.sql	DOMAIN_LEDGER_V1
20261016090000	db/migrations/inventory/V20261016090000__inventory_create_stock_movements.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/inventory/V20261025091200__inventory_create_receipt_and_delivery_facts.sql;db/migrations/inventory/V20261025092320__inventory_extend_release_breadth.sql	DOMAIN_INVENTORY_V1
20261016090100	db/migrations/inventory/V20261016090100__inventory_create_stock_qty_entries.sql	SUPERSEDED_BY_F57_REBASELINE	F57-04	db/migrations/inventory/V20261025091200__inventory_create_receipt_and_delivery_facts.sql;db/migrations/inventory/V20261025092320__inventory_extend_release_breadth.sql	DOMAIN_INVENTORY_V1
