requirement_id	owner_task	activation_task	test_id	test_target_path	test_symbol	evidence_id	evidence_schema	platform_lane
PROC-003	F57-20	F57-20	T-F57-PROC-003	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_003	E-F57-PROC-003	RequirementEvidenceBindingV1	windows-authority
PROC-004	F57-20	F57-20	T-F57-PROC-004	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_004	E-F57-PROC-004	RequirementEvidenceBindingV1	windows-authority
PROC-005	F57-20	F57-20	T-F57-PROC-005	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_005	E-F57-PROC-005	RequirementEvidenceBindingV1	windows-authority
PROC-006	F57-20	F57-20	T-F57-PROC-006	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_006	E-F57-PROC-006	RequirementEvidenceBindingV1	windows-authority
PROC-007	F57-20	F57-20	T-F57-PROC-007	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_007	E-F57-PROC-007	RequirementEvidenceBindingV1	windows-authority
PROC-008	F57-20	F57-20	T-F57-PROC-008	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_008	E-F57-PROC-008	RequirementEvidenceBindingV1	windows-authority
PROC-009	F57-20	F57-20	T-F57-PROC-009	testkit/tests/f57_procure_inventory_cash.rs	t_f57_proc_009	E-F57-PROC-009	RequirementEvidenceBindingV1	windows-authority
INV-001	F57-20	F57-20	T-F57-INV-001	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_001	E-F57-INV-001	RequirementEvidenceBindingV1	windows-authority
INV-002	F57-20	F57-20	T-F57-INV-002	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_002	E-F57-INV-002	RequirementEvidenceBindingV1	windows-authority
INV-003	F57-20	F57-20	T-F57-INV-003	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_003	E-F57-INV-003	RequirementEvidenceBindingV1	windows-authority
INV-004	F57-20	F57-20	T-F57-INV-004	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_004	E-F57-INV-004	RequirementEvidenceBindingV1	windows-authority
INV-005	F57-20	F57-20	T-F57-INV-005	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_005	E-F57-INV-005	RequirementEvidenceBindingV1	windows-authority
INV-006	F57-20	F57-20	T-F57-INV-006	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_006	E-F57-INV-006	RequirementEvidenceBindingV1	windows-authority
INV-007	F57-20	F57-20	T-F57-INV-007	testkit/tests/f57_procure_inventory_cash.rs	t_f57_inv_007	E-F57-INV-007	RequirementEvidenceBindingV1	windows-authority
FIN-001	F57-20	F57-20	T-F57-FIN-001	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_001	E-F57-FIN-001	RequirementEvidenceBindingV1	windows-authority
FIN-002	F57-20	F57-20	T-F57-FIN-002	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_002	E-F57-FIN-002	RequirementEvidenceBindingV1	windows-authority
FIN-003	F57-20	F57-20	T-F57-FIN-003	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_003	E-F57-FIN-003	RequirementEvidenceBindingV1	windows-authority
FIN-004	F57-20	F57-20	T-F57-FIN-004	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_004	E-F57-FIN-004	RequirementEvidenceBindingV1	windows-authority
FIN-005	F57-20	F57-20	T-F57-FIN-005	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_005	E-F57-FIN-005	RequirementEvidenceBindingV1	windows-authority
FIN-006	F57-20	F57-20	T-F57-FIN-006	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_006	E-F57-FIN-006	RequirementEvidenceBindingV1	windows-authority
FIN-007	F57-20	F57-20	T-F57-FIN-007	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_007	E-F57-FIN-007	RequirementEvidenceBindingV1	windows-authority
FIN-008	F57-20	F57-20	T-F57-FIN-008	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_008	E-F57-FIN-008	RequirementEvidenceBindingV1	windows-authority
FIN-009	F57-20	F57-20	T-F57-FIN-009	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_009	E-F57-FIN-009	RequirementEvidenceBindingV1	windows-authority
FIN-010	F57-20	F57-20	T-F57-FIN-010	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_010	E-F57-FIN-010	RequirementEvidenceBindingV1	windows-authority
FIN-011	F57-20	F57-20	T-F57-FIN-011	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_011	E-F57-FIN-011	RequirementEvidenceBindingV1	windows-authority
FIN-012	F57-20	F57-20	T-F57-FIN-012	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_012	E-F57-FIN-012	RequirementEvidenceBindingV1	windows-authority
FIN-013	F57-20	F57-20	T-F57-FIN-013	testkit/tests/f57_procure_inventory_cash.rs	t_f57_fin_013	E-F57-FIN-013	RequirementEvidenceBindingV1	windows-authority
SRV-001	F57-21	F57-21	T-F57-SRV-001	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_001	E-F57-SRV-001	RequirementEvidenceBindingV1	windows-authority
SRV-002	F57-21	F57-21	T-F57-SRV-002	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_002	E-F57-SRV-002	RequirementEvidenceBindingV1	windows-authority
SRV-003	F57-21	F57-21	T-F57-SRV-003	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_003	E-F57-SRV-003	RequirementEvidenceBindingV1	windows-authority
SRV-004	F57-21	F57-21	T-F57-SRV-004	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_004	E-F57-SRV-004	RequirementEvidenceBindingV1	windows-authority
SRV-005	F57-21	F57-21	T-F57-SRV-005	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_005	E-F57-SRV-005	RequirementEvidenceBindingV1	windows-authority
SRV-006	F57-21	F57-21	T-F57-SRV-006	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_006	E-F57-SRV-006	RequirementEvidenceBindingV1	windows-authority
SRV-007	F57-21	F57-21	T-F57-SRV-007	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_007	E-F57-SRV-007	RequirementEvidenceBindingV1	windows-authority
SRV-008	F57-21	F57-21	T-F57-SRV-008	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_008	E-F57-SRV-008	RequirementEvidenceBindingV1	windows-authority
SRV-009	F57-21	F57-21	T-F57-SRV-009	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_009	E-F57-SRV-009	RequirementEvidenceBindingV1	windows-authority
SRV-010	F57-21	F57-21	T-F57-SRV-010	testkit/tests/f57_service_project_reporting.rs	t_f57_srv_010	E-F57-SRV-010	RequirementEvidenceBindingV1	windows-authority
PRJ-001	F57-21	F57-21	T-F57-PRJ-001	testkit/tests/f57_service_project_reporting.rs	t_f57_prj_001	E-F57-PRJ-001	RequirementEvidenceBindingV1	windows-authority
PRJ-002	F57-21	F57-21	T-F57-PRJ-002	testkit/tests/f57_service_project_reporting.rs	t_f57_prj_002	E-F57-PRJ-002	RequirementEvidenceBindingV1	windows-authority
PRJ-003	F57-21	F57-21	T-F57-PRJ-003	testkit/tests/f57_service_project_reporting.rs	t_f57_prj_003	E-F57-PRJ-003	RequirementEvidenceBindingV1	windows-authority
PRJ-004	F57-21	F57-21	T-F57-PRJ-004	testkit/tests/f57_service_project_reporting.rs	t_f57_prj_004	E-F57-PRJ-004	RequirementEvidenceBindingV1	windows-authority
REP-001	F57-21	F57-21	T-F57-REP-001	testkit/tests/f57_service_project_reporting.rs	t_f57_rep_001	E-F57-REP-001	RequirementEvidenceBindingV1	windows-authority
REP-002	F57-21	F57-21	T-F57-REP-002	testkit/tests/f57_service_project_reporting.rs	t_f57_rep_002	E-F57-REP-002	RequirementEvidenceBindingV1	windows-authority
REP-003	F57-21	F57-21	T-F57-REP-003	testkit/tests/f57_service_project_reporting.rs	t_f57_rep_003	E-F57-REP-003	RequirementEvidenceBindingV1	windows-authority
REP-004	F57-21	F57-21	T-F57-REP-004	testkit/tests/f57_service_project_reporting.rs	t_f57_rep_004	E-F57-REP-004	RequirementEvidenceBindingV1	windows-authority
AUT-001	F57-12	F57-12	T-F57-AUT-001	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_001	E-F57-AUT-001	RequirementEvidenceBindingV1	windows-authority
AUT-002	F57-12	F57-12	T-F57-AUT-002	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_002	E-F57-AUT-002	RequirementEvidenceBindingV1	windows-authority
AUT-003	F57-12	F57-12	T-F57-AUT-003	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_003	E-F57-AUT-003	RequirementEvidenceBindingV1	windows-authority
AUT-004	F57-12	F57-12	T-F57-AUT-004	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_004	E-F57-AUT-004	RequirementEvidenceBindingV1	windows-authority
AUT-005	F57-12	F57-12	T-F57-AUT-005	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_005	E-F57-AUT-005	RequirementEvidenceBindingV1	windows-authority
AUT-006	F57-12	F57-12	T-F57-AUT-006	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_006	E-F57-AUT-006	RequirementEvidenceBindingV1	windows-authority
AUT-007	F57-12	F57-12	T-F57-AUT-007	testkit/tests/f57_automation_fault_matrix.rs	t_f57_aut_007	E-F57-AUT-007	RequirementEvidenceBindingV1	windows-authority
AUTH-001	F57-08	F57-08	T-F57-AUTH-001	testkit/tests/f57_authz_matrix.rs	t_f57_auth_001	E-F57-AUTH-001	RequirementEvidenceBindingV1	windows-authority
AUTH-002	F57-08	F57-08	T-F57-AUTH-002	testkit/tests/f57_authz_matrix.rs	t_f57_auth_002	E-F57-AUTH-002	RequirementEvidenceBindingV1	windows-authority
AUTH-003	F57-08	F57-08	T-F57-AUTH-003	testkit/tests/f57_authz_matrix.rs	t_f57_auth_003	E-F57-AUTH-003	RequirementEvidenceBindingV1	windows-authority
AUTH-004	F57-08	F57-08	T-F57-AUTH-004	testkit/tests/f57_authz_matrix.rs	t_f57_auth_004	E-F57-AUTH-004	RequirementEvidenceBindingV1	windows-authority
AUTH-005	F57-08	F57-08	T-F57-AUTH-005	testkit/tests/f57_authz_matrix.rs	t_f57_auth_005	E-F57-AUTH-005	RequirementEvidenceBindingV1	windows-authority
AUTH-006	F57-08	F57-08	T-F57-AUTH-006	testkit/tests/f57_authz_matrix.rs	t_f57_auth_006	E-F57-AUTH-006	RequirementEvidenceBindingV1	windows-authority
AUTH-007	F57-08	F57-08	T-F57-AUTH-007	testkit/tests/f57_authz_matrix.rs	t_f57_auth_007	E-F57-AUTH-007	RequirementEvidenceBindingV1	windows-authority
CLI-001	F57-18	F57-18	T-F57-CLI-001	testkit/tests/f57_workbench_contract.rs	t_f57_cli_001	E-F57-CLI-001	RequirementEvidenceBindingV1	four-platform-client
CLI-002	F57-18	F57-18	T-F57-CLI-002	testkit/tests/f57_workbench_contract.rs	t_f57_cli_002	E-F57-CLI-002	RequirementEvidenceBindingV1	four-platform-client
CLI-003	F57-18	F57-18	T-F57-CLI-003	testkit/tests/f57_workbench_contract.rs	t_f57_cli_003	E-F57-CLI-003	RequirementEvidenceBindingV1	four-platform-client
CLI-004	F57-18	F57-18	T-F57-CLI-004	testkit/tests/f57_workbench_contract.rs	t_f57_cli_004	E-F57-CLI-004	RequirementEvidenceBindingV1	four-platform-client
CLI-005	F57-18	F57-18	T-F57-CLI-005	testkit/tests/f57_workbench_contract.rs	t_f57_cli_005	E-F57-CLI-005	RequirementEvidenceBindingV1	four-platform-client
CLI-006	F57-18	F57-18	T-F57-CLI-006	testkit/tests/f57_workbench_contract.rs	t_f57_cli_006	E-F57-CLI-006	RequirementEvidenceBindingV1	four-platform-client
CLI-007	F57-17	F57-17	T-F57-CLI-007	clients/technology-gate/tauri2/tests/gate.spec.ts	t_f57_cli_007	E-F57-CLI-007	RequirementEvidenceBindingV1	four-platform-client
CLI-008	F57-17	F57-18	T-F57-CLI-008	testkit/tests/f57_workbench_contract.rs	t_f57_cli_008	E-F57-CLI-008	RequirementEvidenceBindingV1	four-platform-client
CLI-009	F57-18	F57-18	T-F57-CLI-009	testkit/tests/f57_workbench_contract.rs	t_f57_cli_009	E-F57-CLI-009	RequirementEvidenceBindingV1	four-platform-client
INT-001	F57-14	F57-14	T-F57-INT-001	testkit/tests/f57_provider_containment.rs	t_f57_int_001	E-F57-INT-001	RequirementEvidenceBindingV1	windows-authority
INT-002	F57-23	F57-23	T-F57-INT-002	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_int_002	E-F57-INT-002	RequirementEvidenceBindingV1	windows-authority
INT-003	F57-14	F57-23	T-F57-INT-003	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_int_003	E-F57-INT-003	RequirementEvidenceBindingV1	windows-authority
INT-004	F57-14	F57-14	T-F57-INT-004	testkit/tests/f57_provider_containment.rs	t_f57_int_004	E-F57-INT-004	RequirementEvidenceBindingV1	windows-authority
INT-005	F57-06	F57-06	T-F57-INT-005	testkit/tests/f57_authority_command.rs	t_f57_int_005	E-F57-INT-005	RequirementEvidenceBindingV1	windows-authority
AI-001	F57-15	F57-15	T-F57-AI-001	testkit/tests/f57_ai_optional.rs	t_f57_ai_001	E-F57-AI-001	RequirementEvidenceBindingV1	windows-authority
AI-002	F57-15	F57-15	T-F57-AI-002	testkit/tests/f57_ai_optional.rs	t_f57_ai_002	E-F57-AI-002	RequirementEvidenceBindingV1	windows-authority
AI-003	F57-15	F57-15	T-F57-AI-003	testkit/tests/f57_ai_optional.rs	t_f57_ai_003	E-F57-AI-003	RequirementEvidenceBindingV1	windows-authority
AI-004	F57-15	F57-15	T-F57-AI-004	testkit/tests/f57_ai_optional.rs	t_f57_ai_004	E-F57-AI-004	RequirementEvidenceBindingV1	windows-authority
AI-005	F57-15	F57-15	T-F57-AI-005	testkit/tests/f57_ai_optional.rs	t_f57_ai_005	E-F57-AI-005	RequirementEvidenceBindingV1	windows-authority
PKG-001	F57-13	F57-13	T-F57-PKG-001	testkit/tests/f57_package_hotplug.rs	t_f57_pkg_001	E-F57-PKG-001	RequirementEvidenceBindingV1	windows-authority
PKG-002	F57-13	F57-13	T-F57-PKG-002	testkit/tests/f57_package_hotplug.rs	t_f57_pkg_002	E-F57-PKG-002	RequirementEvidenceBindingV1	windows-authority
PKG-003	F57-14	F57-14	T-F57-PKG-003	testkit/tests/f57_provider_containment.rs	t_f57_pkg_003	E-F57-PKG-003	RequirementEvidenceBindingV1	windows-authority
PKG-004	F57-13	F57-13	T-F57-PKG-004	testkit/tests/f57_package_hotplug.rs	t_f57_pkg_004	E-F57-PKG-004	RequirementEvidenceBindingV1	windows-authority
PLT-001	F57-23	F57-23	T-F57-PLT-001	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_plt_001	E-F57-PLT-001	RequirementEvidenceBindingV1	windows-authority
PLT-002	F57-23	F57-23	T-F57-PLT-002	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_plt_002	E-F57-PLT-002	RequirementEvidenceBindingV1	windows-authority
PLT-003	F57-23	F57-23	T-F57-PLT-003	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_plt_003	E-F57-PLT-003	RequirementEvidenceBindingV1	windows-authority
PLT-004	F57-23	F57-23	T-F57-PLT-004	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_plt_004	E-F57-PLT-004	RequirementEvidenceBindingV1	windows-authority
CUS-001	F57-22	F57-22	T-F57-CUS-001	testkit/tests/f57_portal_customization.rs	t_f57_cus_001	E-F57-CUS-001	RequirementEvidenceBindingV1	four-platform-client
CUS-002	F57-22	F57-22	T-F57-CUS-002	testkit/tests/f57_portal_customization.rs	t_f57_cus_002	E-F57-CUS-002	RequirementEvidenceBindingV1	four-platform-client
CUS-003	F57-22	F57-22	T-F57-CUS-003	testkit/tests/f57_portal_customization.rs	t_f57_cus_003	E-F57-CUS-003	RequirementEvidenceBindingV1	four-platform-client
CUS-004	F57-22	F57-22	T-F57-CUS-004	testkit/tests/f57_portal_customization.rs	t_f57_cus_004	E-F57-CUS-004	RequirementEvidenceBindingV1	four-platform-client
POR-001	F57-22	F57-22	T-F57-POR-001	testkit/tests/f57_portal_customization.rs	t_f57_por_001	E-F57-POR-001	RequirementEvidenceBindingV1	four-platform-client
POR-002	F57-22	F57-22	T-F57-POR-002	testkit/tests/f57_portal_customization.rs	t_f57_por_002	E-F57-POR-002	RequirementEvidenceBindingV1	four-platform-client
POR-003	F57-22	F57-22	T-F57-POR-003	testkit/tests/f57_portal_customization.rs	t_f57_por_003	E-F57-POR-003	RequirementEvidenceBindingV1	four-platform-client
IDP-001	F57-23	F57-23	T-F57-IDP-001	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_idp_001	E-F57-IDP-001	RequirementEvidenceBindingV1	windows-authority
IDP-002	F57-23	F57-23	T-F57-IDP-002	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_idp_002	E-F57-IDP-002	RequirementEvidenceBindingV1	windows-authority
IDP-003	F57-23	F57-23	T-F57-IDP-003	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_idp_003	E-F57-IDP-003	RequirementEvidenceBindingV1	windows-authority
MCP-001	F57-14	F57-14	T-F57-MCP-001	testkit/tests/f57_provider_containment.rs	t_f57_mcp_001	E-F57-MCP-001	RequirementEvidenceBindingV1	windows-authority
MCP-002	F57-14	F57-14	T-F57-MCP-002	testkit/tests/f57_provider_containment.rs	t_f57_mcp_002	E-F57-MCP-002	RequirementEvidenceBindingV1	windows-authority
MCP-003	F57-14	F57-14	T-F57-MCP-003	testkit/tests/f57_provider_containment.rs	t_f57_mcp_003	E-F57-MCP-003	RequirementEvidenceBindingV1	windows-authority
DBP-001	F57-24	F57-24	T-F57-DBP-001	testkit/tests/f57_windows_recovery_security.rs	t_f57_dbp_001	E-F57-DBP-001	RequirementEvidenceBindingV1	windows-authority
OPS-001	F57-16	F57-16	T-F57-OPS-001	testkit/tests/f57_control_center_contract.rs	t_f57_ops_001	E-F57-OPS-001	RequirementEvidenceBindingV1	windows-authority
SEC-001	F57-24	F57-24	T-F57-SEC-001	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_001	E-F57-SEC-001	RequirementEvidenceBindingV1	windows-authority
SEC-002	F57-02	F57-02	T-F57-SEC-002	testkit/tests/f57_storage_key_boundary.rs	t_f57_sec_002	E-F57-SEC-002	RequirementEvidenceBindingV1	windows-authority
SEC-003	F57-24	F57-24	T-F57-SEC-003	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_003	E-F57-SEC-003	RequirementEvidenceBindingV1	windows-authority
SEC-004	F57-24	F57-24	T-F57-SEC-004	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_004	E-F57-SEC-004	RequirementEvidenceBindingV1	windows-authority
SEC-005	F57-24	F57-24	T-F57-SEC-005	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_005	E-F57-SEC-005	RequirementEvidenceBindingV1	windows-authority
SEC-006	F57-16	F57-16	T-F57-SEC-006	testkit/tests/f57_control_center_contract.rs	t_f57_sec_006	E-F57-SEC-006	RequirementEvidenceBindingV1	windows-authority
SEC-007	F57-23	F57-23	T-F57-SEC-007	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_sec_007	E-F57-SEC-007	RequirementEvidenceBindingV1	windows-authority
SEC-008	F57-23	F57-23	T-F57-SEC-008	testkit/tests/f57_platform_connectors_lifecycle.rs	t_f57_sec_008	E-F57-SEC-008	RequirementEvidenceBindingV1	windows-authority
SEC-009	F57-02	F57-02	T-F57-SEC-009	testkit/tests/f57_storage_key_boundary.rs	t_f57_sec_009	E-F57-SEC-009	RequirementEvidenceBindingV1	windows-authority
SEC-010	F57-11	F57-11	T-F57-SEC-010	testkit/tests/f57_transactional_evidence.rs	t_f57_sec_010	E-F57-SEC-010	RequirementEvidenceBindingV1	windows-authority
SEC-011	F57-24	F57-24	T-F57-SEC-011	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_011	E-F57-SEC-011	RequirementEvidenceBindingV1	windows-authority
SEC-012	F57-02	F57-02	T-F57-SEC-012	testkit/tests/f57_storage_key_boundary.rs	t_f57_sec_012	E-F57-SEC-012	RequirementEvidenceBindingV1	windows-authority
SEC-013	F57-24	F57-24	T-F57-SEC-013	testkit/tests/f57_windows_recovery_security.rs	t_f57_sec_013	E-F57-SEC-013	RequirementEvidenceBindingV1	windows-authority
SEC-014	F57-02	F57-02	T-F57-SEC-014	testkit/tests/f57_storage_key_boundary.rs	t_f57_sec_014	E-F57-SEC-014	RequirementEvidenceBindingV1	windows-authority
