requirement_id	first_due_profile	slice_probe_profiles_json	rationale
FIN-005	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_receipt_allocation_not_full_receipt_payment_many_to_many
FIN-008	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_receivable_balance_not_payable_and_aging
FIN-009	G5_INTEGRATION	["G2_CTC_DATA","G4_CTC01"]	ctc01_probes_po_effect_unknown_before_full_external_matrix
AUT-001	G1_AUTHORITY_SPINE	["G2_CTC_DATA","G4_CTC01"]	g1_proves_registry_engine_then_ctc01_proves_real_handlers
AUT-002	G1_AUTHORITY_SPINE	["G4_CTC01"]	g1_proves_engine_faults_then_ctc01_proves_real_restart
AUT-005	G1_AUTHORITY_SPINE	["G4_CTC01"]	g1_proves_reopen_mechanism_then_ctc01_proves_cash_reversal_cycle
AUT-007	G1_AUTHORITY_SPINE	["G4_CTC01"]	g1_proves_decision_contract_then_ctc01_proves_real_unknown_reconcile
AUTH-001	G1_AUTHORITY_SPINE	["G2_CTC_DATA","G4_CTC01"]	g1_proves_policy_then_ctc01_proves_real_business_scope
AUTH-004	G1_AUTHORITY_SPINE	["G2_CTC_DATA","G4_CTC01"]	g1_proves_sod_then_ctc01_proves_contract_and_closure_review
AUTH-005	G1_AUTHORITY_SPINE	["G2_CTC_DATA","G4_CTC01"]	g1_proves_rls_projection_then_ctc01_proves_real_rows
CLI-001	G5_INTEGRATION	["G3_CLIENT_SHELL","G4_CTC01"]	windows_slice_precedes_full_cross_module_four_platform_workbench
CLI-009	G5_INTEGRATION	["G3_CLIENT_SHELL","G4_CTC01"]	windows_employee_api_probe_precedes_four_platform_contract
INT-001	G5_INTEGRATION	["G4_CTC01"]	ctc01_uses_minimum_carriers_not_full_adapter_registry
INT-002	G5_INTEGRATION	["G4_CTC01"]	ctc01_probes_file_excel_csv_rest_mcp_not_full_document_set
MCP-001	G5_INTEGRATION	["G4_CTC01"]	ctc01_read_only_probe_precedes_full_mcp_protocol
MCP-002	G5_INTEGRATION	["G4_CTC01"]	ctc01_read_only_probe_precedes_dynamic_tool_manifest
MCP-003	G5_INTEGRATION	["G4_CTC01"]	ctc01_probes_containment_not_full_unknown_and_revocation_matrix
OPS-001	G6_RELEASE	["G3_CLIENT_SHELL","G5_INTEGRATION"]	minimum_control_health_precedes_full_backup_package_recovery_certificate_and_permanent_degradation_truth
SEC-002	G6_RELEASE	["G1_AUTHORITY_SPINE","G5_INTEGRATION"]	logical_key_domains_precede_real_volume_backup_rotation_and_recovery_evidence
SEC-006	G5_INTEGRATION	["G3_CLIENT_SHELL"]	g3_truthfully_displays_remote_support_disabled_before_full_lifecycle
SEC-009	G6_RELEASE	["G1_AUTHORITY_SPINE"]	customer_key_control_contract_precedes_real_tpm_hsm_withdrawal_rotation_and_recovery
SEC-010	G6_RELEASE	["G1_AUTHORITY_SPINE","G4_CTC01","G5_INTEGRATION"]	audit_engine_and_domain_probes_precede_full_ai_provider_import_key_backup_and_recovery_field_coverage
SEC-012	G6_RELEASE	["G1_AUTHORITY_SPINE"]	logical_protector_boundaries_precede_real_bitlocker_tpm_pcr_ntfs_power_loss_and_dual_custody_evidence
SEC-014	G6_RELEASE	["G1_AUTHORITY_SPINE"]	secret_broker_contract_precedes_real_piv_shamir_clean_cross_machine_recovery
SEC-015	G5_INTEGRATION	["G3_CLIENT_SHELL","G4_CTC01"]	windows_online_dlp_probe_precedes_full_four_platform_offline_matrix
NFR-002	G6_RELEASE	["G0_BOOTSTRAP","G1_AUTHORITY_SPINE"]	signed_storage_contract_and_path_probes_precede_final_handle_hdd_residency_tpm_rollback_and_power_fault_evidence
NFR-015	G6_RELEASE	["G0_BOOTSTRAP"]	boot_contract_precedes_real_cold_boot_pcr_tpm_os_disk_damage_and_stolen_recovery_key_drills
