task_id	logical_lane	lane_profile_id	profile_mode	execution_lanes_json	artifact_ids_json	stage_set_id
F57-15	windows-authority	WINDOWS_DUE_F57_15_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-16	windows-authority	WINDOWS_DUE_F57_16_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-17	four-platform-client	FOUR_PLATFORM_DUE_F57_17_V1	FOUR_PLATFORM_DUE	["windows-authority","apple-client","android-client","evidence-aggregate"]	["F57-CLIENT-WINDOWS-X64-V1","F57-LANE-APPLE-MACOS-IOS-V1","F57-LANE-ANDROID-CLIENT-V1","F57-CLIENT-FOUR-TARGET-MATRIX-V1"]	F57_STAGE_REGISTRY_V1
F57-18	four-platform-client	FOUR_PLATFORM_DUE_F57_18_V1	FOUR_PLATFORM_DUE	["windows-authority","apple-client","android-client","evidence-aggregate"]	["F57-CLIENT-WINDOWS-X64-V1","F57-LANE-APPLE-MACOS-IOS-V1","F57-LANE-ANDROID-CLIENT-V1","F57-CLIENT-FOUR-TARGET-MATRIX-V1"]	F57_STAGE_REGISTRY_V1
F57-19	windows-authority	WINDOWS_DUE_F57_19_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-20	windows-authority	WINDOWS_DUE_F57_20_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-21	windows-authority	WINDOWS_DUE_F57_21_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-22	four-platform-client	FOUR_PLATFORM_DUE_F57_22_V1	FOUR_PLATFORM_DUE	["windows-authority","apple-client","android-client","evidence-aggregate"]	["F57-CLIENT-WINDOWS-X64-V1","F57-LANE-APPLE-MACOS-IOS-V1","F57-LANE-ANDROID-CLIENT-V1","F57-CLIENT-FOUR-TARGET-MATRIX-V1"]	F57_STAGE_REGISTRY_V1
F57-23	windows-authority	WINDOWS_DUE_F57_23_V1	INCREMENTAL_DUE	["windows-authority"]	["F57-LANE-WINDOWS-INCREMENTAL-V1"]	F57_STAGE_REGISTRY_V1
F57-24	windows-authority	WINDOWS_PRODUCTION_FULL_F57_24_V1	FULL_WINDOWS_PRODUCTION	["windows-authority"]	["F57-LANE-WINDOWS-AUTHORITY-V1"]	F57_STAGE_REGISTRY_V1
F57-25	offline-evidence-aggregate	OFFLINE_RELEASE_AGGREGATE_F57_25_V1	FULL_RELEASE_AGGREGATE	["evidence-aggregate"]	["F57-LANE-OFFLINE-EVIDENCE-AGGREGATE-V1"]	F57_STAGE_REGISTRY_V1
