surface	variant_kind	wire_literal	owner_task	introduced_version	payload_schema	result_schema	error_schema	subject_cas_mode	audience	operation_error_code
CONTROL	COMMAND	legal_hold.release.decide	F57-23	1.1.0-f57	LegalHoldReleaseDecisionRequestV1	LegalHoldAcceptedV1	ControlLegalHoldReleaseDecideErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.RELEASE_DENIED
CONTROL	COMMAND	legal_hold.release.request	F57-23	1.1.0-f57	LegalHoldReleaseRequestV1	LegalHoldAcceptedV1	ControlLegalHoldReleaseRequestErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	PLATFORM.LEGAL_HOLD.RELEASE_DENIED
CONTROL	COMMAND	portable_export.create	F57-23	1.1.0-f57	PortableExportCreateRequestV1	PortableExportAcceptedV1	ControlPortableExportCreateErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	PLATFORM.EXPORT.POLICY_DENIED
CONTROL	COMMAND	search.definition.publish	F57-23	1.1.0-f57	SearchDefinitionPublishRequestV1	SearchDefinitionPublishedV1	ControlSearchDefinitionPublishErrorsV1	CONTROL_UPSERT_CAS	CONTROL_CENTER	PLATFORM.SEARCH.DEFINITION_INVALID
CONTROL	QUERY	approval.case.get	F57-23	1.1.0-f57	ApprovalCaseGetQueryV1	ApprovalCaseViewV1	ControlApprovalCaseGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	approval.case.list	F57-23	1.1.0-f57	ApprovalCaseListQueryV1	ApprovalCasePageV1	ControlApprovalCaseListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	disposition.case.get	F57-23	1.1.0-f57	DispositionCaseGetQueryV1	DispositionCaseViewV1	ControlDispositionCaseGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	disposition.case.list	F57-23	1.1.0-f57	DispositionCaseListQueryV1	DispositionCasePageV1	ControlDispositionCaseListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	identity.external_link.get	F57-23	1.1.0-f57	ExternalIdentityLinkGetQueryV1	ExternalIdentityLinkViewV1	ControlIdentityExternalLinkGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	identity.external_link.list	F57-23	1.1.0-f57	ExternalIdentityLinkListQueryV1	ExternalIdentityLinkPageV1	ControlIdentityExternalLinkListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	legal_hold.get	F57-23	1.1.0-f57	LegalHoldGetQueryV1	LegalHoldViewV1	ControlLegalHoldGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	legal_hold.list	F57-23	1.1.0-f57	LegalHoldListQueryV1	LegalHoldPageV1	ControlLegalHoldListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	portable_export.get	F57-23	1.1.0-f57	PortableExportGetQueryV1	PortableExportViewV1	ControlPortableExportGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	portable_export.list	F57-23	1.1.0-f57	PortableExportListQueryV1	PortableExportPageV1	ControlPortableExportListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	search.definition.get	F57-23	1.1.0-f57	SearchDefinitionGetQueryV1	SearchDefinitionViewV1	ControlSearchDefinitionGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	search.definition.list	F57-23	1.1.0-f57	SearchDefinitionListQueryV1	SearchDefinitionPageV1	ControlSearchDefinitionListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.begin_eradication	F57-24	1.2.0-f57	SecurityIncidentBeginEradicationRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentBeginEradicationErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.begin_reconciliation	F57-24	1.2.0-f57	SecurityIncidentBeginReconciliationRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentBeginReconciliationErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.begin_recovery	F57-24	1.2.0-f57	SecurityIncidentBeginRecoveryRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentBeginRecoveryErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.close	F57-24	1.2.0-f57	SecurityIncidentCloseRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentCloseErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.close_false_positive	F57-24	1.2.0-f57	SecurityIncidentCloseFalsePositiveRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentCloseFalsePositiveErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.contain	F57-24	1.2.0-f57	SecurityIncidentContainRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentContainErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.evidence.add	F57-24	1.2.0-f57	SecurityIncidentEvidenceAddRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentEvidenceAddErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.notification.record	F57-24	1.2.0-f57	SecurityIncidentNotificationRecordRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentNotificationRecordErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.register	F57-24	1.2.0-f57	SecurityIncidentRegisterRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentRegisterErrorsV1	CONTROL_CREATE_NO_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.release_approval.record	F57-24	1.2.0-f57	SecurityIncidentReleaseApprovalRecordRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentReleaseApprovalRecordErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.rotation.record	F57-24	1.2.0-f57	SecurityIncidentRotationRecordRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentRotationRecordErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	COMMAND	security_incident.triage	F57-24	1.2.0-f57	SecurityIncidentTriageRequestV1	SecurityIncidentAcceptedV1	ControlSecurityIncidentTriageErrorsV1	CONTROL_PAYLOAD_CAS	CONTROL_CENTER	NONE
CONTROL	QUERY	security_incident.evidence.list	F57-24	1.2.0-f57	SecurityIncidentEvidenceListQueryV1	SecurityIncidentEvidencePageV1	ControlSecurityIncidentEvidenceListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	security_incident.get	F57-24	1.2.0-f57	SecurityIncidentGetQueryV1	SecurityIncidentViewV1	ControlSecurityIncidentGetErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	security_incident.list	F57-24	1.2.0-f57	SecurityIncidentListQueryV1	SecurityIncidentPageV1	ControlSecurityIncidentListErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
CONTROL	QUERY	security_incident.timeline	F57-24	1.2.0-f57	SecurityIncidentTimelineQueryV1	SecurityIncidentTimelineViewV1	ControlSecurityIncidentTimelineErrorsV1	QUERY_NONE	CONTROL_CENTER	NONE
EMPLOYEE	COMMAND	work_item.accept	F57-18	1.0.0-f57	WorkItemAcceptRequestV1	WorkItemChangedV1	EmployeeWorkItemAcceptErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.cancel	F57-18	1.0.0-f57	WorkItemCancelRequestV1	WorkItemChangedV1	EmployeeWorkItemCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.complete	F57-18	1.0.0-f57	WorkItemCompleteRequestV1	WorkItemChangedV1	EmployeeWorkItemCompleteErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.reassign	F57-18	1.0.0-f57	WorkItemReassignRequestV1	WorkItemChangedV1	EmployeeWorkItemReassignErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.resume	F57-18	1.0.0-f57	WorkItemResumeRequestV1	WorkItemChangedV1	EmployeeWorkItemResumeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.start	F57-18	1.0.0-f57	WorkItemStartRequestV1	WorkItemChangedV1	EmployeeWorkItemStartErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	work_item.wait	F57-18	1.0.0-f57	WorkItemWaitRequestV1	WorkItemChangedV1	EmployeeWorkItemWaitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	notification.list	F57-18	1.0.0-f57	NotificationListQueryV1	NotificationPageV1	EmployeeNotificationListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	objective.get	F57-18	1.0.0-f57	EmployeeObjectiveGetQueryV1	EmployeeObjectiveViewV1	EmployeeObjectiveGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	objective.list	F57-18	1.0.0-f57	EmployeeObjectiveListQueryV1	EmployeeObjectivePageV1	EmployeeObjectiveListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	objective.timeline	F57-18	1.0.0-f57	EmployeeObjectiveTimelineQueryV1	EmployeeObjectiveTimelineViewV1	EmployeeObjectiveTimelineErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	work_item.get	F57-18	1.0.0-f57	WorkItemGetQueryV1	WorkItemViewV1	EmployeeWorkItemGetErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	QUERY	work_item.list	F57-18	1.0.0-f57	WorkItemListQueryV1	WorkItemPageV1	EmployeeWorkItemListErrorsV1	QUERY_NONE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.activate	F57-19	1.1.0-f57	ContractActivateRequestV1	ContractAcceptedV1	EmployeeContractActivateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.approve	F57-19	1.1.0-f57	ContractApproveRequestV1	ContractAcceptedV1	EmployeeContractApproveErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.change	F57-19	1.1.0-f57	ContractChangeRequestV1	ContractAcceptedV1	EmployeeContractChangeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.change_draft	F57-19	1.1.0-f57	ContractChangeDraftRequestV1	ContractAcceptedV1	EmployeeContractChangeDraftErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.create_draft	F57-19	1.1.0-f57	ContractCreateDraftRequestV1	ContractAcceptedV1	EmployeeContractCreateDraftErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.merge	F57-19	1.1.0-f57	ContractMergeRequestV1	ContractAcceptedV1	EmployeeContractMergeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.record_signature	F57-19	1.1.0-f57	ContractRecordSignatureRequestV1	ContractAcceptedV1	EmployeeContractRecordSignatureErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.renew	F57-19	1.1.0-f57	ContractRenewRequestV1	ContractAcceptedV1	EmployeeContractRenewErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.request_termination	F57-19	1.1.0-f57	ContractRequestTerminationRequestV1	ContractAcceptedV1	EmployeeContractRequestTerminationErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	contract.submit	F57-19	1.1.0-f57	ContractSubmitRequestV1	ContractAcceptedV1	EmployeeContractSubmitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	delivery_schedule.merge	F57-19	1.1.0-f57	DeliveryScheduleMergeRequestV1	DeliveryScheduleChangedV1	EmployeeDeliveryScheduleMergeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	delivery_schedule.split	F57-19	1.1.0-f57	DeliveryScheduleSplitRequestV1	DeliveryScheduleChangedV1	EmployeeDeliveryScheduleSplitErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	follow_up.cancel	F57-19	1.1.0-f57	FollowUpCancelRequestV1	FollowUpAcceptedV1	EmployeeFollowUpCancelErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	follow_up.complete	F57-19	1.1.0-f57	FollowUpCompleteRequestV1	FollowUpAcceptedV1	EmployeeFollowUpCompleteErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	follow_up.correct	F57-19	1.1.0-f57	FollowUpCorrectRequestV1	FollowUpAcceptedV1	EmployeeFollowUpCorrectErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	follow_up.plan	F57-19	1.1.0-f57	FollowUpPlanRequestV1	FollowUpAcceptedV1	EmployeeFollowUpPlanErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	follow_up.reschedule	F57-19	1.1.0-f57	FollowUpRescheduleRequestV1	FollowUpAcceptedV1	EmployeeFollowUpRescheduleErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	manual_order_authority.create	F57-19	1.1.0-f57	ManualOrderAuthorityCreateRequestV1	ManualOrderAuthorityAcceptedV1	EmployeeManualOrderAuthorityCreateErrorsV1	CREATE_ZERO	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	manual_order_authority.decide	F57-19	1.1.0-f57	ManualOrderAuthorityDecisionRequestV1	ManualOrderAuthorityAcceptedV1	EmployeeManualOrderAuthorityDecideErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.customer.merge	F57-19	1.1.0-f57	CustomerMergeRequestV1	CustomerMergeAcceptedV1	EmployeeMdmCustomerMergeErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
EMPLOYEE	COMMAND	mdm.master_record.activate	F57-19	1.1.0-f57	MasterRecordActivateRequestV1	MasterRecordAcceptedV1	EmployeeMdmMasterRecordActivateErrorsV1	MUTATE_POSITIVE	EMPLOYEE_WORKBENCH	NONE
