surface	method	path	operation_id	owner_task	security_profile	route_shape_profile	request_schema	result_schema	error_schema	error_code_set
CONTROL	POST	/control/v1/session/reauth	reauthenticateControlSession	F57-16	CONTROL_SESSION_CSRF	CONTROL_SESSION_REAUTH_V1	ControlSessionReauthRequestV1	ControlSessionReauthenticatedV1	ControlSessionReauthErrorsV1	PLATFORM.AUTHN.MFA_CHALLENGE_CONSUMED|PLATFORM.AUTHN.MFA_CHALLENGE_EXPIRED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
CONTROL	POST	/control/v1/session/start	startControlSession	F57-16	CONTROL_BOOTSTRAP_ORIGIN	CONTROL_SESSION_START_V1	ControlSessionStartRequestV1	ControlSessionStartedV1	ControlSessionStartErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/commands	submitEmployeeCommand	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_COMMAND_V1	EmployeeCommandEnvelopeV1	EmployeeCommandSubmissionResultV1	EmployeeCommandErrorsV1	PLATFORM.APPROVAL.REQUIRED|PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.AUTHZ.SOD_VIOLATION|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	GET	/employee/v1/commands/{request_id}	getEmployeeCommandReceipt	F57-18	EMPLOYEE_SESSION_DEVICE_READ	EMPLOYEE_COMMAND_RECEIPT_V1	NONE	EmployeeCommandReceiptV1	EmployeeCommandReceiptErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/devices/{device_id}/attestations	submitEmployeeDeviceAttestation	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_DEVICE_ATTEST_V1	EmployeeDeviceAttestationRequestV1	EmployeeDeviceAttestationAcceptedV1	EmployeeDeviceAttestationErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/devices/{device_id}/wipe-receipts	submitEmployeeWipeReceipt	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_WIPE_RECEIPT_V1	EmployeeWipeReceiptRequestV1	EmployeeWipeReceiptAcceptedV1	EmployeeWipeReceiptErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/files/upload-sessions	createEmployeeFileUploadSession	F57-18	EMPLOYEE_SESSION_DEVICE	FILE_UPLOAD_CREATE_V1	CreateUploadSessionRequestV1	UploadSessionCreatedV1	EmployeeFileUploadCreateErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
EMPLOYEE	GET	/employee/v1/files/upload-sessions/{upload_id}	getEmployeeFileUploadSession	F57-18	EMPLOYEE_SESSION_DEVICE_READ	FILE_UPLOAD_STATUS_V1	NONE	UploadSessionStatusV1	EmployeeFileUploadStatusErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
EMPLOYEE	PUT	/employee/v1/files/upload-sessions/{upload_id}/chunks/{chunk_no}	putEmployeeFileUploadChunk	F57-18	EMPLOYEE_SESSION_DEVICE	FILE_UPLOAD_CHUNK_V1	RawUploadChunkV1	UploadChunkAcceptedV1	EmployeeFileUploadChunkErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
EMPLOYEE	POST	/employee/v1/files/upload-sessions/{upload_id}/complete	completeEmployeeFileUploadSession	F57-18	EMPLOYEE_SESSION_DEVICE	FILE_UPLOAD_COMPLETE_V1	CompleteUploadSessionRequestV1	FileIngressAcceptedV1	EmployeeFileUploadCompleteErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
EMPLOYEE	GET	/employee/v1/files/{object_id}/versions/{version_id}	getEmployeeFileVersion	F57-18	EMPLOYEE_SESSION_DEVICE_READ	FILE_VERSION_GET_V1	NONE	PublishedFileVersionV1	EmployeeFileVersionGetErrorsV1	PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CAPACITY.DISK_WATERMARK_EXCEEDED|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.HEADER_MISSING|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY|PLATFORM.UPLOAD_SESSION.PART_HASH_MISMATCH
EMPLOYEE	POST	/employee/v1/queries	executeEmployeeQuery	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_QUERY_V1	EmployeeQueryEnvelopeV1	EmployeeQuerySubmissionResultV1	EmployeeQueryErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/session/end	endEmployeeSession	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_SESSION_END_V1	EmployeeSessionEndRequestV1	EmployeeSessionEndedV1	EmployeeSessionEndErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/session/handshake	handshakeEmployeeGeneration	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_SESSION_HANDSHAKE_V1	ClientGenerationReportV1	ClientGenerationDirectiveV1	EmployeeSessionHandshakeErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/session/renew	renewEmployeeSession	F57-18	EMPLOYEE_SESSION_DEVICE	EMPLOYEE_SESSION_RENEW_V1	EmployeeSessionRenewRequestV1	EmployeeSessionRenewedV1	EmployeeSessionRenewErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	POST	/employee/v1/session/start	startEmployeeSession	F57-18	EMPLOYEE_BOOTSTRAP_DEVICE	EMPLOYEE_SESSION_START_V1	EmployeeSessionStartRequestV1	EmployeeSessionStartedV1	EmployeeSessionStartErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.ACCOUNT_LOCKED|PLATFORM.AUTHN.CREDENTIAL_INVALID|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHN.MFA_INVALID|PLATFORM.AUTHN.MFA_REQUIRED|PLATFORM.AUTHN.RATE_LIMITED|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	GET	/employee/v1/tasks/stream	streamEmployeeTasks	F57-18	EMPLOYEE_SESSION_DEVICE_READ	EMPLOYEE_TASK_STREAM_V1	NONE	EmployeeTaskStreamEventV1	EmployeeTaskStreamErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
EMPLOYEE	GET	/employee/v1/ui-schema/{generation}	getEmployeeUiSchema	F57-18	EMPLOYEE_SESSION_DEVICE_READ	EMPLOYEE_UI_SCHEMA_GET_V1	NONE	SignedEmployeeUiSchemaV1	EmployeeUiSchemaGetErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CLIENT.GENERATION_INCOMPATIBLE|PLATFORM.CLIENT_RELEASE.FORCED_UPDATE_REQUIRED|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/authenticators/register	registerPortalAuthenticator	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_AUTHENTICATOR_REGISTER_V1	PortalAuthenticatorRegisterRequestV1	PortalAuthenticatorChangedV1	PortalAuthenticatorRegisterErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/authenticators/revoke	revokePortalAuthenticator	F57-22	PORTAL_SESSION_BINDING_CSRF	PORTAL_AUTHENTICATOR_REVOKE_V1	PortalAuthenticatorRevokeRequestV1	PortalAuthenticatorChangedV1	PortalAuthenticatorRevokeErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	POST	/portal/v1/commands	submitPortalCommand	F57-22	PORTAL_DISCRIMINATOR_AUDIENCE	PORTAL_COMMAND_V1	PortalCommandV1	PortalCommandSubmissionResultV1	PortalCommandSubmitErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
PORTAL	GET	/portal/v1/commands/{request_id}	getPortalCommandReceipt	F57-22	PORTAL_ORIGINAL_COMMAND_BINDING	PORTAL_COMMAND_RECEIPT_V1	NONE	PortalCommandReceiptV1	PortalCommandReceiptErrorsV1	PLATFORM.AUTHN.ACCOUNT_INACTIVE|PLATFORM.AUTHN.DEVICE_NOT_REGISTERED|PLATFORM.AUTHORITY.STALE_EPOCH|PLATFORM.AUTHZ.NOT_FOUND_OR_DENIED|PLATFORM.AUTHZ.OBJECT_FORBIDDEN|PLATFORM.AUTHZ.REAUTH_REQUIRED|PLATFORM.CAPACITY.CONCURRENCY_LIMIT|PLATFORM.CONCURRENCY.STALE_VERSION|PLATFORM.IDEMPOTENCY.IN_PROGRESS|PLATFORM.IDEMPOTENCY.PAYLOAD_MISMATCH|PLATFORM.LICENSE.RESTRICTED|PLATFORM.REQUEST.INVALID_PAYLOAD|PLATFORM.SYSTEM.NOT_READY
