schema_name	component_kind	owner_task	shape_profile	subject_id_field	item_ref	config_schema	explicit_field_set
ApprovalCaseListQueryV1	PAYLOAD	F57-23	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
ApprovalCasePageV1	RESULT	F57-23	PAGE_V1	NONE	ApprovalCaseViewV1	NONE	NONE
ApprovalCaseViewV1	RESULT	F57-23	VIEW_CONFIGURED_V1	case_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
AuthorizedSearchPageV1	RESULT	F57-23	PAGE_STATELESS_CONFIGURED_V1	authorized_search_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
AuthorizedSearchRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	definition_id:ENTITY_ID:REQ;definition_version:U64_POS:REQ;filter:FILTER_AST:REQ;sort:SORT_SPEC_SET:REQ;page_size:U32_1_200:REQ;cursor:CURSOR:NULL
AutomationEffectChangedV1	RESULT	F57-16	CHANGED_V1	automation_effect_id	NONE	NONE	NONE
AutomationEffectListQueryV1	PAYLOAD	F57-16	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
AutomationEffectPageV1	RESULT	F57-16	PAGE_V1	NONE	AutomationEffectViewV1	NONE	NONE
AutomationEffectViewV1	RESULT	F57-16	VIEW_CONFIGURED_V1	automation_effect_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
AwardAcceptedV1	RESULT	F57-20	ACCEPTED_V1	award_id	NONE	NONE	NONE
AwardDecideRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	award_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
AwardGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	award_id	NONE	NONE	NONE
AwardListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
AwardPageV1	RESULT	F57-20	PAGE_V1	NONE	AwardViewV1	NONE	NONE
AwardProposeRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	award_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
AwardRevokeRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	award_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
AwardViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	award_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
BillingRequestAcceptedV1	RESULT	F57-20	ACCEPTED_V1	billing_request_id	NONE	NONE	NONE
BillingRequestCancelRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	billing_request_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
BillingRequestChangeDraftRequestV1	PAYLOAD	F57-20	PATCH_CONFIGURED_V1	billing_request_id	NONE	CONFIGURED_PATCH_VALUES_V1	NONE
BillingRequestCreateRequestV1	PAYLOAD	F57-20	CREATE_CONFIGURED_V1	NONE	NONE	CONFIGURED_CREATE_VALUES_V1	NONE
BillingRequestDecideRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	billing_request_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
BillingRequestGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	billing_request_id	NONE	NONE	NONE
BillingRequestListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
BillingRequestPageV1	RESULT	F57-20	PAGE_V1	NONE	BillingRequestViewV1	NONE	NONE
BillingRequestSubmitRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	billing_request_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
BillingRequestViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	billing_request_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CapabilityGrantChangedV1	RESULT	F57-16	CHANGED_V1	capability_grant_id	NONE	NONE	NONE
CapabilityGrantCreateRequestV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	grant_id:ENTITY_ID:REQ;principal_id:ENTITY_ID:REQ;capability_id:ACTION_CODE:REQ;scope:SCOPE_AST:REQ;conditions:GRANT_CONDITION_SET:REQ;valid_from:UTC:REQ;valid_until:UTC:REQ;device_constraint:DEVICE_CONSTRAINT:REQ;risk_ceiling:ENUM(LOW|MEDIUM|HIGH|CRITICAL):REQ;delegation_depth_remaining:U8_0_8:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
CapabilityGrantListQueryV1	PAYLOAD	F57-16	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
CapabilityGrantPageV1	RESULT	F57-16	PAGE_V1	NONE	CapabilityGrantViewV1	NONE	NONE
CapabilityGrantRevokeRequestV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	grant_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;reason:STRING_1_4096:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
CapabilityGrantViewV1	RESULT	F57-16	VIEW_CONFIGURED_V1	capability_grant_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CashAccountAcceptedV1	RESULT	F57-20	ACCEPTED_V1	cash_account_id	NONE	NONE	NONE
CashAccountChangeRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	cash_account_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CashAccountCreateRequestV1	PAYLOAD	F57-20	CREATE_CONFIGURED_V1	NONE	NONE	CONFIGURED_CREATE_VALUES_V1	NONE
CashAccountDeactivateRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	cash_account_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CashAccountGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	cash_account_id	NONE	NONE	NONE
CashAccountListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
CashAccountPageV1	RESULT	F57-20	PAGE_V1	NONE	CashAccountViewV1	NONE	NONE
CashAccountViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	cash_account_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CashLedgerListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
CashLedgerPageV1	RESULT	F57-20	PAGE_V1	cash_ledger_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
ComplaintAcceptedV1	RESULT	F57-21	ACCEPTED_V1	complaint_id	NONE	NONE	NONE
ComplaintAcknowledgeRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintCancelRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintCloseRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintGetQueryV1	PAYLOAD	F57-21	GET_BY_ID_V1	complaint_id	NONE	NONE	NONE
ComplaintListQueryV1	PAYLOAD	F57-21	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
ComplaintPageV1	RESULT	F57-21	PAGE_V1	NONE	ComplaintViewV1	NONE	NONE
ComplaintPlanActionRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintRegisterRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintReopenRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintResolveRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintResumeInvestigationRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintStartInvestigationRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintSubmitClosureReviewRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ComplaintViewV1	RESULT	F57-21	VIEW_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
ComplaintWaitCustomerRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	complaint_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ConfirmDeliveryDateRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	supplier_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ConfirmDeliveryRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	customer_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ConfirmPurchaseOrderRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	supplier_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractAcceptedV1	RESULT	F57-19	ACCEPTED_V1	contract_id	NONE	NONE	NONE
ContractActivateRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractApproveRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractChangeDraftRequestV1	PAYLOAD	F57-19	PATCH_CONFIGURED_V1	contract_id	NONE	CONFIGURED_PATCH_VALUES_V1	NONE
ContractChangeRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractCreateDraftRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractFulfilmentGetQueryV1	PAYLOAD	F57-19	GET_BY_ID_V1	contract_fulfilment_id	NONE	NONE	NONE
ContractFulfilmentViewV1	RESULT	F57-19	VIEW_CONFIGURED_V1	contract_fulfilment_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
ContractGetQueryV1	PAYLOAD	F57-19	GET_BY_ID_V1	contract_id	NONE	NONE	NONE
ContractListQueryV1	PAYLOAD	F57-19	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
ContractMergeRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractPageV1	RESULT	F57-19	PAGE_V1	NONE	ContractViewV1	NONE	NONE
ContractPaymentScheduleGetQueryV1	PAYLOAD	F57-19	GET_BY_ID_V1	contract_payment_schedule_id	NONE	NONE	NONE
ContractPaymentScheduleViewV1	RESULT	F57-19	VIEW_CONFIGURED_V1	contract_payment_schedule_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
ContractRecordSignatureRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractRenewRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractRequestTerminationRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractSubmitRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	contract_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
ContractVersionListQueryV1	PAYLOAD	F57-19	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
ContractVersionPageV1	RESULT	F57-19	PAGE_V1	contract_version_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
ContractViewV1	RESULT	F57-19	VIEW_CONFIGURED_V1	contract_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
ControlApprovalCaseDecisionRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;decision:ENUM(APPROVE|REJECT):REQ;evidence_refs:EVIDENCE_REF_SET:REQ
ControlHumanEffectDecisionRequestV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	effect_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;decision:ENUM(CONFIRMED_SUCCEEDED|CONFIRMED_NOT_EXECUTED|CONFIRMED_COMPENSATED|UNRESOLVED_CONTAINED):REQ;evidence_refs:EVIDENCE_REF_SET:REQ
ControlListQueryV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	states:STATE_CODE_SET:REQ;page_size:U32_1_200:REQ;cursor:CURSOR:NULL
ControlObjectIdQueryV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	id:SUBJECT_ID:REQ
ControlObjectiveListQueryV1	PAYLOAD	F57-16	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
ControlObjectivePageV1	RESULT	F57-16	PAGE_V1	NONE	ControlObjectiveViewV1	NONE	NONE
ControlObjectiveReopenRequestV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	objective_id:ENTITY_ID:REQ;objective_cycle:U64_POS:REQ;expected_row_version:ROW_VERSION:REQ;reopen_trigger_kind:OBJECTIVE_REOPEN_TRIGGER:REQ;trigger_fact_ref:EVIDENCE_REF:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
ControlObjectiveTerminationRequestV1	PAYLOAD	F57-16	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	objective_id:ENTITY_ID:REQ;objective_cycle:U64_POS:REQ;expected_row_version:ROW_VERSION:REQ;termination_reason_code:OBJECTIVE_TERMINATION_REASON:REQ;termination_impact_digest:SHA256:REQ;approval_case_id:ENTITY_ID:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
ControlObjectiveViewV1	RESULT	F57-16	VIEW_CONFIGURED_V1	control_objective_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CorrectiveActionAcceptedV1	RESULT	F57-21	ACCEPTED_V1	corrective_action_id	NONE	NONE	NONE
CorrectiveActionCompleteRequestV1	PAYLOAD	F57-21	ACTION_CONFIGURED_V1	corrective_action_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CorrectiveActionCreateRequestV1	PAYLOAD	F57-21	CREATE_CONFIGURED_V1	NONE	NONE	CONFIGURED_CREATE_VALUES_V1	NONE
CreateComplaintRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	customer_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CreateServiceRequestV1	PAYLOAD	F57-22	ACTION_CONFIGURED_V1	customer_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CreditExposureGetQueryV1	PAYLOAD	F57-19	GET_BY_ID_V1	credit_exposure_id	NONE	NONE	NONE
CreditExposureViewV1	RESULT	F57-19	VIEW_CONFIGURED_V1	credit_exposure_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CreditNoteCreateRequestV1	PAYLOAD	F57-20	CREATE_CONFIGURED_V1	NONE	NONE	CONFIGURED_CREATE_VALUES_V1	NONE
CreditNotePostRequestV1	PAYLOAD	F57-20	ACTION_CONFIGURED_V1	credit_note_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
Customer360GetQueryV1	PAYLOAD	F57-19	GET_BY_ID_V1	customer_360_id	NONE	NONE	NONE
Customer360ViewV1	RESULT	F57-19	VIEW_CONFIGURED_V1	customer360_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerApprovedDocumentGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_approved_document_id	NONE	NONE	NONE
CustomerApprovedDocumentViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_approved_document_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerContractGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_contract_id	NONE	NONE	NONE
CustomerContractViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_contract_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerDeliveryGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_delivery_id	NONE	NONE	NONE
CustomerDeliveryViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_delivery_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerEquipmentGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_equipment_id	NONE	NONE	NONE
CustomerEquipmentViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_equipment_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerInvoiceGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_invoice_id	NONE	NONE	NONE
CustomerInvoiceViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_invoice_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerMergeAcceptedV1	RESULT	F57-19	ACCEPTED_V1	customer_merge_id	NONE	NONE	NONE
CustomerMergeRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	mdm_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
CustomerOrderGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_order_id	NONE	NONE	NONE
CustomerOrderViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_order_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerQuoteGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_quote_id	NONE	NONE	NONE
CustomerQuoteViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_quote_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerReceiptGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_receipt_id	NONE	NONE	NONE
CustomerReceiptViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_receipt_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
CustomerWorkOrderGetQueryV1	PAYLOAD	F57-22	GET_BY_ID_V1	customer_work_order_id	NONE	NONE	NONE
CustomerWorkOrderViewV1	RESULT	F57-22	VIEW_CONFIGURED_V1	customer_work_order_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
DeliveryConfirmationAcceptedV1	RESULT	F57-20	ACCEPTED_V1	delivery_confirmation_id	NONE	NONE	NONE
DeliveryConfirmationCreateRequestV1	PAYLOAD	F57-20	CREATE_CONFIGURED_V1	NONE	NONE	CONFIGURED_CREATE_VALUES_V1	NONE
DeliveryConfirmationGetQueryV1	PAYLOAD	F57-20	GET_BY_ID_V1	delivery_confirmation_id	NONE	NONE	NONE
DeliveryConfirmationListQueryV1	PAYLOAD	F57-20	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
DeliveryConfirmationPageV1	RESULT	F57-20	PAGE_V1	NONE	DeliveryConfirmationViewV1	NONE	NONE
DeliveryConfirmationViewV1	RESULT	F57-20	VIEW_CONFIGURED_V1	delivery_confirmation_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
DeliveryConfirmedV1	RESULT	F57-20	ACCEPTED_V1	delivery_id	NONE	NONE	NONE
DeliveryDateConfirmedV1	RESULT	F57-22	ACCEPTED_V1	delivery_date_id	NONE	NONE	NONE
DeliveryScheduleChangedV1	RESULT	F57-19	CHANGED_V1	delivery_schedule_id	NONE	NONE	NONE
DeliveryScheduleListQueryV1	PAYLOAD	F57-19	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
DeliveryScheduleMergeRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	delivery_schedule_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
DeliverySchedulePageV1	RESULT	F57-19	PAGE_V1	delivery_schedule_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
DeliveryScheduleSplitRequestV1	PAYLOAD	F57-19	ACTION_CONFIGURED_V1	delivery_schedule_id	NONE	CONFIGURED_ACTION_VALUES_V1	NONE
DispositionCaseAcceptedV1	RESULT	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;state:STATE_CODE:REQ;row_version:ROW_VERSION:REQ
DispositionCaseCreateRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;scope:SCOPE_AST:REQ;method:DISPOSITION_METHOD:REQ;policy_ref:POLICY_REF:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
DispositionCaseGetQueryV1	PAYLOAD	F57-23	GET_BY_ID_V1	case_id	NONE	NONE	NONE
DispositionCaseListQueryV1	PAYLOAD	F57-23	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
DispositionCasePageV1	RESULT	F57-23	PAGE_V1	NONE	DispositionCaseViewV1	NONE	NONE
DispositionCaseViewV1	RESULT	F57-23	VIEW_CONFIGURED_V1	case_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
DispositionDecisionRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;decision:ENUM(APPROVE|REJECT):REQ;evidence_refs:EVIDENCE_REF_SET:REQ
DispositionExecuteRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;approved_scope_digest:SHA256:REQ
DispositionImpactRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;impact_digest:SHA256:REQ;blocking_refs:OBJECT_REF_SET:REQ;evidence_refs:EVIDENCE_REF_SET:REQ
DispositionResumeRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;approved_scope_digest:SHA256:REQ;containment_resolution_evidence_refs:EVIDENCE_REF_SET:REQ
DispositionTransitionRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ
DispositionVerifyRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;expected_row_version:ROW_VERSION:REQ;verification_evidence_refs:EVIDENCE_REF_SET:REQ
DuplicateCandidateListQueryV1	PAYLOAD	F57-19	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
DuplicateCandidatePageV1	RESULT	F57-19	PAGE_V1	duplicate_candidate_id	INLINE_CONFIGURED_ITEM_V1	CONFIGURED_RECORD_VALUES_V1	NONE
EmployeeApprovalCaseDecisionRequestV1	PAYLOAD	F57-23	EXPLICIT_FIELDS_V1	NONE	NONE	NONE	case_id:ENTITY_ID:REQ;decision:ENUM(APPROVE|REJECT):REQ;evidence_refs:EVIDENCE_REF_SET:REQ
EmployeeApprovalCaseGetQueryV1	PAYLOAD	F57-23	GET_BY_ID_V1	case_id	NONE	NONE	NONE
EmployeeApprovalCaseViewV1	RESULT	F57-23	VIEW_CONFIGURED_V1	case_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
EmployeeObjectiveGetQueryV1	PAYLOAD	F57-18	GET_BY_ID_V1	objective_id	NONE	NONE	NONE
EmployeeObjectiveListQueryV1	PAYLOAD	F57-18	LIST_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
EmployeeObjectivePageV1	RESULT	F57-18	PAGE_V1	NONE	EmployeeObjectiveViewV1	NONE	NONE
EmployeeObjectiveTimelineQueryV1	PAYLOAD	F57-18	EXECUTE_QUERY_CONFIGURED_V1	NONE	NONE	CONFIGURED_QUERY_VALUES_V1	NONE
EmployeeObjectiveTimelineViewV1	RESULT	F57-18	VIEW_CONFIGURED_V1	employee_objective_timeline_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
EmployeeObjectiveViewV1	RESULT	F57-18	VIEW_CONFIGURED_V1	employee_objective_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
EmployeePortableExportGetQueryV1	PAYLOAD	F57-23	GET_BY_ID_V1	export_id	NONE	NONE	NONE
EmployeePortableExportViewV1	RESULT	F57-23	VIEW_CONFIGURED_V1	export_id	NONE	CONFIGURED_RECORD_VALUES_V1	NONE
